Var1,Var2,Freq
MONDO:0005441,ICD9CM:382.9,11
MONDO:0000748,ICD9CM:383.9,11
MONDO:0001802,ICD9CM:384.00,11
MONDO:0001803,ICD9CM:384.01,11
MONDO:0001227,ICD9CM:384.1,11
MONDO:0001547,ICD9CM:384.82,11
MONDO:0003648,ICD9CM:384.9,11
MONDO:0006531,ICD9CM:385.31,11
MONDO:0001141,ICD9CM:385.82,11
MONDO:0007972,ICD9CM:386.00,11
MONDO:0001728,ICD9CM:386.03,11
MONDO:0004900,ICD9CM:386.10,11
MONDO:0006008,ICD9CM:386.12,11
MONDO:0002008,ICD9CM:386.30,11
MONDO:0002006,ICD9CM:386.31,11
MONDO:0001874,ICD9CM:386.34,11
MONDO:0001507,ICD9CM:386.35,11
MONDO:0003571,ICD9CM:386.50,11
MONDO:0005349,ICD9CM:387.9,11
MONDO:0021205,ICD9CM:388.9,11
MONDO:0005365,ICD9CM:389.9,11
MONDO:0002133,ICD9CM:393,11
MONDO:0005648,ICD9CM:395.1,11
MONDO:0003627,ICD9CM:397.1,11
MONDO:0001899,ICD9CM:398.91,11
MONDO:0001133,ICD9CM:401.0,11
MONDO:0001151,ICD9CM:401.1,11
MONDO:0001134,ICD9CM:401.9,11
MONDO:0001304,ICD9CM:403.10,11
MONDO:0004781,ICD9CM:410.90,11
MONDO:0001049,ICD9CM:411.0,11
MONDO:0006021,ICD9CM:413.1,11
MONDO:0006714,ICD9CM:414.11,11
MONDO:0004598,ICD9CM:415.0,11
MONDO:0001492,ICD9CM:416.1,11
MONDO:0001493,ICD9CM:416.9,11
MONDO:0002815,ICD9CM:422.90,11
MONDO:0005783,ICD9CM:423.0,11
