mid,versionedIcd
MONDO:0005042,ICD10CM:A86A86
MONDO:0005845,ICD10CM:A86A86
MONDO:0006009,ICD10CM:A86A86
MONDO:0015595,ICD10CM:A86A86
MONDO:0021108,ICD10CM:A86A86
MONDO:0001449,ICD10CM:A87.2A87.2
MONDO:0002565,ICD10CM:A87.2A87.2
MONDO:0005042,ICD10CM:A87.2A87.2
MONDO:0007015,ICD10CM:A87.2A87.2
MONDO:0019956,ICD10CM:A87.2A87.2
MONDO:0007015,ICD10CM:A87.9A87.9
MONDO:0024318,ICD10CM:A87.9A87.9
MONDO:0024505,ICD10CM:A87.9A87.9
MONDO:0002317,ICD10CM:A88.1A88.1
MONDO:0002643,ICD10CM:A88.1A88.1
MONDO:0006008,ICD10CM:A88.1A88.1
MONDO:0017941,ICD10CM:A92.0A92.0
MONDO:0021166,ICD10CM:A92.0A92.0
MONDO:0005042,ICD10CM:A92.31A92.31
MONDO:0019376,ICD10CM:A92.31A92.31
MONDO:0019376,ICD10CM:A92.39A92.39
MONDO:0018661,ICD10CM:A92.5A92.5
MONDO:0005108,ICD10CM:A93.8A93.8
MONDO:0004795,ICD10CM:B00.1B00.1
MONDO:0018107,ICD10CM:B00.1B00.1
MONDO:0021201,ICD10CM:B00.1B00.1
MONDO:0043653,ICD10CM:B00.1B00.1
MONDO:0044987,ICD10CM:B00.1B00.1
MONDO:0004609,ICD10CM:B00.2B00.2
MONDO:0005042,ICD10CM:B00.4B00.4
MONDO:0012521,ICD10CM:B00.4B00.4
MONDO:0004609,ICD10CM:B00.52B00.52
MONDO:0004609,ICD10CM:B00.53B00.53
MONDO:0004609,ICD10CM:B00.59B00.59
MONDO:0004609,ICD10CM:B00.7B00.7
MONDO:0004609,ICD10CM:B00.81B00.81
MONDO:0004609,ICD10CM:B00.89B00.89
MONDO:0004609,ICD10CM:B00.9B00.9
MONDO:0005700,ICD10CM:B01.0B01.0
MONDO:0006619,ICD10CM:B01.0B01.0
MONDO:0007015,ICD10CM:B01.0B01.0
MONDO:0019293,ICD10CM:B01.0B01.0
MONDO:0021201,ICD10CM:B01.0B01.0
MONDO:0024318,ICD10CM:B01.0B01.0
MONDO:0005700,ICD10CM:B01.2B01.2
MONDO:0006012,ICD10CM:B01.2B01.2
MONDO:0006619,ICD10CM:B01.2B01.2
MONDO:0019293,ICD10CM:B01.2B01.2
MONDO:0021201,ICD10CM:B01.2B01.2
MONDO:0043905,ICD10CM:B01.2B01.2
MONDO:0005700,ICD10CM:B01.89B01.89
MONDO:0006619,ICD10CM:B01.89B01.89
MONDO:0019293,ICD10CM:B01.89B01.89
MONDO:0021201,ICD10CM:B01.89B01.89
MONDO:0005700,ICD10CM:B01.9B01.9
MONDO:0006619,ICD10CM:B01.9B01.9
MONDO:0019293,ICD10CM:B01.9B01.9
MONDO:0021201,ICD10CM:B01.9B01.9
MONDO:0005042,ICD10CM:B02.0B02.0
MONDO:0005609,ICD10CM:B02.0B02.0
MONDO:0006009,ICD10CM:B02.0B02.0
MONDO:0020068,ICD10CM:B02.0B02.0
MONDO:0002098,ICD10CM:B02.21B02.21
MONDO:0002776,ICD10CM:B02.21B02.21
MONDO:0005244,ICD10CM:B02.21B02.21
MONDO:0005769,ICD10CM:B02.21B02.21
MONDO:0021201,ICD10CM:B02.21B02.21
MONDO:0005609,ICD10CM:B02.22B02.22
